name,company,role_in_panel,panel_title,post_url,rejection_reason
Robert Knapczyk,SHELL Polska,moderator,"Określanie priorytetów przywódczych równoważących oczekiwania właścicieli, ambicje strategiczne i realia ekonomiczne",https://www.linkedin.com/posts/uscinski_panel-okre%C5%9Blanie-priorytet%C3%B3w-przyw%C3%B3dczych-activity-7450165649760210944-vikA,Moderator + not target industry (energy/oil)
Wojciech Trochymiak,Roche Polska,panelist,"Określanie priorytetów przywódczych równoważących oczekiwania właścicieli, ambicje strategiczne i realia ekonomiczne",https://www.linkedin.com/posts/uscinski_panel-okre%C5%9Blanie-priorytet%C3%B3w-przyw%C3%B3dczych-activity-7450165649760210944-vikA,Not target industry (pharma)
Cezary Giza,DIGIMART,moderator,"Ujednolicanie jakości danych, pomiaru retail media i kontroli personalizacji w celu poprawy decyzji finansowych",https://www.linkedin.com/posts/uscinski_drugi-dzie%C5%84-poland-cee-retail-summit-2026-activity-7450152741064286208-JvvO,"Moderator, digital marketing consultant"
Ewa Weinar,NATURA,moderator,"Koordynowanie reakcji na ryzyka w wymiarach finansowym, operacyjnym i regulacyjnym w warunkach zmienności",https://www.linkedin.com/posts/uscinski_drugi-dzie%C5%84-poland-cee-retail-summit-2026-activity-7450100900917997568-PN9V,"Moderator, legal role not ICP"
Natalia Korzeniecka-Walak,EMPIK,panelist,"Koordynowanie reakcji na ryzyka w wymiarach finansowym, operacyjnym i regulacyjnym w warunkach zmienności",https://www.linkedin.com/posts/uscinski_drugi-dzie%C5%84-poland-cee-retail-summit-2026-activity-7450100900917997568-PN9V,Board Member but role is People/Legal/Corporate Affairs — not directly procurement/finance/operations focused
Agnieszka Bryl,EY,panelist,"Koordynowanie reakcji na ryzyka w wymiarach finansowym, operacyjnym i regulacyjnym w warunkach zmienności",https://www.linkedin.com/posts/uscinski_drugi-dzie%C5%84-poland-cee-retail-summit-2026-activity-7450100900917997568-PN9V,Consultant (EY Partner)
Carolina Halladin,Halladin Trade Advisory,moderator,Zmiana stała się normą. Stabilność – niekoniecznie.,https://www.linkedin.com/posts/uscinski_zmiana-sta%C5%82a-si%C4%99-norm%C4%85-stabilno%C5%9B%C4%87-niekoniecznie-activity-7449831971595132928-dKk3,Consultant/moderator
Grzegorz Przytula,EY-Parthenon,panelist,Zmiana stała się normą. Stabilność – niekoniecznie.,https://www.linkedin.com/posts/uscinski_zmiana-sta%C5%82a-si%C4%99-norm%C4%85-stabilno%C5%9B%C4%87-niekoniecznie-activity-7449831971595132928-dKk3,Consultant (EY-Parthenon)
Lukasz Mazurowski,PROFITIA Management Consultants,moderator,Supply Chain Plenary Stage — zmienność jako codzienność,https://www.linkedin.com/posts/uscinski_podczas-panelu-supply-chain-plenary-stage-activity-7449803184123879425-cACM,Own company (Profitia)
Kamil Folkert,Occubee,panelist,Supply Chain Plenary Stage — zmienność jako codzienność,https://www.linkedin.com/posts/uscinski_podczas-panelu-supply-chain-plenary-stage-activity-7449803184123879425-cACM,"Tech/analytics SaaS vendor, not target industry"
Robert Klimacki,EY Polska,panelist,"Płynność, cash flow i kapitał obrotowy — rola decyzji zakupowych i predykcji",https://www.linkedin.com/posts/uscinski_na-poland-cee-retail-summit-2026-panel-activity-7449784801747771392-L_P5,Consultant (EY)
Mikolaj Sarrach,,panelist,Financial Performance & Business Management — marka własna jako gra o model biznesowy,https://www.linkedin.com/posts/uscinski_poland-cee-retail-summit-2026-pokaza%C5%82-jedn%C4%85-activity-7449773449356570624-5qd9,"No clear company, advisory role, insufficient data for personalization"
Kinga Wyganowska,RELEX Solutions,panelist,Łączenie systemów zwiększa nie tylko efektywność — ujawnia też miejsca podatne na ryzyka,https://www.linkedin.com/posts/uscinski_kolejny-panel-na-poland-cee-retail-summit-activity-7449762084923330560-3nCW,"SaaS vendor, not target industry"
Elisabet Ricart Roig,Glovo,panelist,Łączenie systemów zwiększa nie tylko efektywność — ujawnia też miejsca podatne na ryzyka,https://www.linkedin.com/posts/uscinski_kolejny-panel-na-poland-cee-retail-summit-activity-7449762084923330560-3nCW,"Delivery platform, not target industry"
Magdalena Markiewicz,POLKA-POLSKA KAUCJA,panelist,Ambicja to za mało — Strategy & Growth,https://www.linkedin.com/posts/uscinski_jeste%C5%9Bmy-razem-z-lukasz-mazurowski-i-profitia-activity-7449730814130442240-PxGa,"Deposit return scheme company, not target industry"
